year,level_1,level_2,value
2011,Central Police Division - Total,Unlicensed Moneylending,242
2011,Central Police Division - Total,Harassment,484
2011,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,193
2011,Central Police Division - Bukit Merah East NPC,Harassment,286
2011,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,18
2011,Central Police Division - Marina Bay NPC,Harassment,16
2011,Central Police Division - Rochor NPC,Unlicensed Moneylending,31
2011,Central Police Division - Rochor NPC,Harassment,182
2011,Clementi Police Division - Total,Unlicensed Moneylending,195
2011,Clementi Police Division - Total,Harassment,1097
2011,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,40
2011,Clementi Police Division - Bukit Merah West NPC,Harassment,244
2011,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,83
2011,Clementi Police Division - Clementi NPC,Harassment,325
2011,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,42
2011,Clementi Police Division - Jurong East NPC,Harassment,290
2011,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,30
2011,Clementi Police Division - Queenstown NPC,Harassment,238
2011,Tanglin Police Division - Total,Unlicensed Moneylending,163
2011,Tanglin Police Division - Total,Harassment,1193
2011,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,15
2011,Tanglin Police Division - Bishan NPC,Harassment,273
2011,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,10
2011,Tanglin Police Division - Bukit Timah NPC,Harassment,107
2011,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,82
2011,Tanglin Police Division - Kampong Java NPC,Harassment,191
2011,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,5
2011,Tanglin Police Division - Orchard NPC,Harassment,6
2011,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,51
2011,Tanglin Police Division - Toa Payoh NPC,Harassment,616
2011,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,363
2011,Ang Mo Kio Police Division - Total,Harassment,3417
2011,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,156
2011,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,471
2011,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,22
2011,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,422
2011,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,55
2011,Ang Mo Kio Police Division - Hougang NPC,Harassment,790
2011,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,na
2011,Ang Mo Kio Police Division - Punggol NPC,Harassment,na
2011,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,18
2011,Ang Mo Kio Police Division - Sembawang NPC,Harassment,162
2011,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,44
2011,Ang Mo Kio Police Division - Sengkang NPC,Harassment,558
2011,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,19
2011,Ang Mo Kio Police Division - Serangoon NPC,Harassment,375
2011,Ang Mo Kio Police Division - Yishun North NPC,Unlicensed Moneylending,19
2011,Ang Mo Kio Police Division - Yishun North NPC,Harassment,313
2011,Ang Mo Kio Police Division - Yishun South NPC,Unlicensed Moneylending,30
2011,Ang Mo Kio Police Division - Yishun South NPC,Harassment,326
2011,Bedok Police Division - Total,Unlicensed Moneylending,266
2011,Bedok Police Division - Total,Harassment,2676
2011,Bedok Police Division - Bedok North NPC,Unlicensed Moneylending,69
2011,Bedok Police Division - Bedok North NPC,Harassment,689
2011,Bedok Police Division - Bedok South NPC,Unlicensed Moneylending,27
2011,Bedok Police Division - Bedok South NPC,Harassment,231
2011,Bedok Police Division - Changi NPC,Unlicensed Moneylending,22
2011,Bedok Police Division - Changi NPC,Harassment,310
2011,Bedok Police Division - Geylang NPC,Unlicensed Moneylending,30
2011,Bedok Police Division - Geylang NPC,Harassment,291
2011,Bedok Police Division - Marine Parade NPC,Unlicensed Moneylending,12
2011,Bedok Police Division - Marine Parade NPC,Harassment,79
2011,Bedok Police Division - Pasir Ris NPC,Unlicensed Moneylending,16
2011,Bedok Police Division - Pasir Ris NPC,Harassment,438
2011,Bedok Police Division - Tampines NPC,Unlicensed Moneylending,90
2011,Bedok Police Division - Tampines NPC,Harassment,638
2011,Jurong Police Division - Total,Unlicensed Moneylending,324
2011,Jurong Police Division - Total,Harassment,2905
2011,Jurong Police Division - Bukit Batok NPC,Unlicensed Moneylending,33
2011,Jurong Police Division - Bukit Batok NPC,Harassment,412
2011,Jurong Police Division - Bukit Panjang NPC,Unlicensed Moneylending,20
2011,Jurong Police Division - Bukit Panjang NPC,Harassment,315
2011,Jurong Police Division - Choa Chu Kang NPC,Unlicensed Moneylending,33
2011,Jurong Police Division - Choa Chu Kang NPC,Harassment,388
2011,Jurong Police Division - Jurong West NPC,Unlicensed Moneylending,38
2011,Jurong Police Division - Jurong West NPC,Harassment,451
2011,Jurong Police Division - Nanyang NPC,Unlicensed Moneylending,125
2011,Jurong Police Division - Nanyang NPC,Harassment,430
2011,Jurong Police Division - Woodlands NPC,Unlicensed Moneylending,75
2011,Jurong Police Division - Woodlands NPC,Harassment,909
2011,Jurong Police Division - Woodlands East NPC,Unlicensed Moneylending,na
2011,Jurong Police Division - Woodlands East NPC,Harassment,na
2011,Jurong Police Division - Woodlands West NPC,Unlicensed Moneylending,na
2011,Jurong Police Division - Woodlands West NPC,Harassment,na
2011,Woodlands Police Division - Total,Unlicensed Moneylending,-
2011,Woodlands Police Division - Total,Harassment,-
2011,Woodlands Police Division - Woodlands East NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Woodlands East NPC,Harassment,-
2011,Woodlands Police Division - Woodlands West NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Woodlands West NPC,Harassment,-
2011,Woodlands Police Division - Yishun North NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Yishun North NPC,Harassment,-
2011,Woodlands Police Division - Yishun South NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Yishun South NPC,Harassment,-
2011,Woodlands Police Division - Sembawang NPC,Unlicensed Moneylending,-
2011,Woodlands Police Division - Sembawang NPC,Harassment,-
2012,Central Police Division - Total,Unlicensed Moneylending,66
2012,Central Police Division - Total,Harassment,380
2012,Central Police Division - Bukit Merah East NPC,Unlicensed Moneylending,34
2012,Central Police Division - Bukit Merah East NPC,Harassment,182
2012,Central Police Division - Marina Bay NPC,Unlicensed Moneylending,4
2012,Central Police Division - Marina Bay NPC,Harassment,18
2012,Central Police Division - Rochor NPC,Unlicensed Moneylending,28
2012,Central Police Division - Rochor NPC,Harassment,180
2012,Clementi Police Division - Total,Unlicensed Moneylending,162
2012,Clementi Police Division - Total,Harassment,901
2012,Clementi Police Division - Bukit Merah West NPC,Unlicensed Moneylending,29
2012,Clementi Police Division - Bukit Merah West NPC,Harassment,234
2012,Clementi Police Division - Clementi NPC,Unlicensed Moneylending,77
2012,Clementi Police Division - Clementi NPC,Harassment,185
2012,Clementi Police Division - Jurong East NPC,Unlicensed Moneylending,18
2012,Clementi Police Division - Jurong East NPC,Harassment,245
2012,Clementi Police Division - Queenstown NPC,Unlicensed Moneylending,38
2012,Clementi Police Division - Queenstown NPC,Harassment,237
2012,Tanglin Police Division - Total,Unlicensed Moneylending,74
2012,Tanglin Police Division - Total,Harassment,621
2012,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,8
2012,Tanglin Police Division - Bishan NPC,Harassment,130
2012,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,5
2012,Tanglin Police Division - Bukit Timah NPC,Harassment,37
2012,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,16
