Year,Crime_code,Age_group,Gender,Total_count
2011,15,Above 21 Years Old,Male,17
2011,15,21 Years Old And Below,Male,11
2011,15,Youths (7 To 19 Years Old),Male,8
2011,15,Above 21 Years Old,Female,1
2011,15,21 Years Old And Below,Female,1
2011,15,Youths (7 To 19 Years Old),Female,1
2011,16,Above 21 Years Old,Male,30
2011,16,21 Years Old And Below,Male,14
2011,16,Youths (7 To 19 Years Old),Male,13
2011,16,Above 21 Years Old,Female,0
2011,16,21 Years Old And Below,Female,0
2011,16,Youths (7 To 19 Years Old),Female,0
2011,8,Above 21 Years Old,Male,681
2011,8,21 Years Old And Below,Male,115
2011,8,Youths (7 To 19 Years Old),Male,79
2011,8,Above 21 Years Old,Female,4
2011,8,21 Years Old And Below,Female,3
2011,8,Youths (7 To 19 Years Old),Female,2
2011,7,Above 21 Years Old,Male,167
2011,7,21 Years Old And Below,Male,116
2011,7,Youths (7 To 19 Years Old),Male,102
2011,7,Above 21 Years Old,Female,10
2011,7,21 Years Old And Below,Female,11
2011,7,Youths (7 To 19 Years Old),Female,11
2011,11,Above 21 Years Old,Male,161
2011,11,21 Years Old And Below,Male,90
2011,11,Youths (7 To 19 Years Old),Male,82
2011,11,Above 21 Years Old,Female,12
2011,11,21 Years Old And Below,Female,9
2011,11,Youths (7 To 19 Years Old),Female,9
2011,9,Above 21 Years Old,Male,55
2011,9,21 Years Old And Below,Male,128
2011,9,Youths (7 To 19 Years Old),Male,106
2011,9,Above 21 Years Old,Female,1
2011,9,21 Years Old And Below,Female,12
2011,9,Youths (7 To 19 Years Old),Female,10
2011,10,Above 21 Years Old,Male,44
2011,10,21 Years Old And Below,Male,42
2011,10,Youths (7 To 19 Years Old),Male,36
2011,10,Above 21 Years Old,Female,3
2011,10,21 Years Old And Below,Female,0
2011,10,Youths (7 To 19 Years Old),Female,0
2011,17,Above 21 Years Old,Male,234
2011,17,21 Years Old And Below,Male,397
2011,17,Youths (7 To 19 Years Old),Male,336
2011,17,Above 21 Years Old,Female,6
2011,17,21 Years Old And Below,Female,65
2011,17,Youths (7 To 19 Years Old),Female,62
2011,14,Above 21 Years Old,Male,209
2011,14,21 Years Old And Below,Male,51
2011,14,Youths (7 To 19 Years Old),Male,36
2011,14,Above 21 Years Old,Female,31
2011,14,21 Years Old And Below,Female,11
2011,14,Youths (7 To 19 Years Old),Female,7
2011,18,Above 21 Years Old,Male,1003
2011,18,21 Years Old And Below,Male,168
2011,18,Youths (7 To 19 Years Old),Male,110
2011,18,Above 21 Years Old,Female,373
2011,18,21 Years Old And Below,Female,103
2011,18,Youths (7 To 19 Years Old),Female,63
2012,15,Above 21 Years Old,Male,15
2012,15,21 Years Old And Below,Male,1
2012,15,Youths (7 To 19 Years Old),Male,0
2012,15,Above 21 Years Old,Female,0
2012,15,21 Years Old And Below,Female,0
2012,15,Youths (7 To 19 Years Old),Female,0
2012,16,Above 21 Years Old,Male,42
2012,16,21 Years Old And Below,Male,37
2012,16,Youths (7 To 19 Years Old),Male,33
2012,16,Above 21 Years Old,Female,0
2012,16,21 Years Old And Below,Female,0
2012,16,Youths (7 To 19 Years Old),Female,0
2012,8,Above 21 Years Old,Male,702
2012,8,21 Years Old And Below,Male,108
2012,8,Youths (7 To 19 Years Old),Male,65
2012,8,Above 21 Years Old,Female,3
2012,8,21 Years Old And Below,Female,3
2012,8,Youths (7 To 19 Years Old),Female,3
2012,7,Above 21 Years Old,Male,142
2012,7,21 Years Old And Below,Male,115
2012,7,Youths (7 To 19 Years Old),Male,98
2012,7,Above 21 Years Old,Female,9
2012,7,21 Years Old And Below,Female,10
2012,7,Youths (7 To 19 Years Old),Female,8
2012,11,Above 21 Years Old,Male,140
2012,11,21 Years Old And Below,Male,78
2012,11,Youths (7 To 19 Years Old),Male,61
2012,11,Above 21 Years Old,Female,9
2012,11,21 Years Old And Below,Female,10
2012,11,Youths (7 To 19 Years Old),Female,9
2012,9,Above 21 Years Old,Male,59
2012,9,21 Years Old And Below,Male,74
2012,9,Youths (7 To 19 Years Old),Male,62
2012,9,Above 21 Years Old,Female,3
2012,9,21 Years Old And Below,Female,4
2012,9,Youths (7 To 19 Years Old),Female,3
2012,10,Above 21 Years Old,Male,54
