CrimeLog_ID,Year,Crime_code,PoliceStation_ID,Total
1,2005,1,,4093
2,2005,2,,1190
3,2005,3,,1551
4,2005,4,,22711
5,2005,5,,3389
6,2005,6,,4159
7,2006,4,,20301
8,2006,1,,3708
9,2006,2,,1004
10,2006,3,,1201
11,2006,5,,3159
12,2006,6,,3890
13,2007,5,,3565
14,2007,4,,19556
15,2007,6,,4003
16,2007,3,,926
17,2007,1,,3719
18,2007,2,,1027
19,2008,4,,19918
20,2008,3,,898
21,2008,1,,3926
22,2008,6,,3921
23,2008,2,,962
24,2008,5,,3488
25,2009,6,,3699
26,2009,5,,3359
27,2009,3,,1025
28,2009,4,,20445
29,2009,1,,3907
30,2009,2,,751
31,2010,1,,4177
32,2010,4,,19560
33,2010,2,,567
34,2010,5,,3804
35,2010,6,,4148
36,2010,3,,896
37,2011,7,1.0,7
38,2011,7,2.0,0
39,2011,8,3.0,55
40,2011,9,3.0,28
41,2011,10,3.0,13
42,2011,11,3.0,23
43,2011,7,3.0,9
44,2011,8,4.0,19
45,2011,10,4.0,10
46,2011,11,4.0,10
47,2011,7,4.0,12
48,2011,10,5.0,5
49,2011,10,6.0,4
50,2011,8,5.0,47
51,2011,11,2.0,0
52,2011,9,5.0,36
53,2011,9,4.0,8
54,2011,11,7.0,4
55,2011,7,8.0,8
56,2011,12,9.0,0
57,2011,13,6.0,0
58,2011,12,6.0,0
59,2011,13,7.0,0
60,2011,12,7.0,0
61,2011,12,10.0,286
62,2011,10,7.0,5
63,2011,9,7.0,3
64,2011,7,7.0,6
65,2011,8,2.0,0
66,2011,9,2.0,0
67,2011,8,7.0,21
68,2011,7,5.0,7
69,2011,11,5.0,20
70,2011,10,2.0,0
71,2011,11,8.0,16
72,2011,11,1.0,17
73,2011,9,8.0,23
74,2011,7,9.0,13
75,2011,11,9.0,20
76,2011,9,9.0,11
77,2011,11,11.0,17
78,2011,8,9.0,36
79,2011,7,6.0,2
80,2011,11,6.0,8
81,2011,9,6.0,7
82,2011,8,6.0,26
83,2011,7,11.0,15
84,2011,8,12.0,25
85,2011,10,13.0,7
86,2011,10,12.0,8
87,2011,7,14.0,22
88,2011,9,15.0,8
89,2011,8,1.0,22
90,2011,10,8.0,3
91,2011,9,1.0,12
92,2011,13,9.0,0
93,2011,8,8.0,19
94,2011,7,16.0,6
95,2011,11,16.0,20
96,2011,10,16.0,2
97,2011,9,16.0,15
98,2011,8,16.0,33
99,2011,7,17.0,44
100,2011,11,17.0,36
101,2011,10,17.0,45
102,2011,9,17.0,62
103,2011,9,12.0,13
104,2011,8,11.0,40
105,2011,9,11.0,37
106,2011,10,11.0,21
107,2011,10,9.0,11
108,2011,10,1.0,14
109,2011,12,18.0,0
110,2011,12,19.0,412
111,2011,12,20.0,0
112,2011,12,21.0,6
113,2011,13,22.0,51
114,2011,12,22.0,616
115,2011,13,12.0,156
116,2011,12,12.0,471
117,2011,13,4.0,22
118,2011,13,21.0,5
119,2011,12,4.0,422
120,2011,12,3.0,790
121,2011,13,2.0,0
122,2011,12,2.0,0
123,2011,13,7.0,18
124,2011,12,7.0,162
125,2011,13,5.0,44
126,2011,13,3.0,55
127,2011,12,23.0,191
128,2011,13,23.0,82
129,2011,12,24.0,107
130,2011,13,25.0,18
131,2011,12,25.0,16
132,2011,13,26.0,31
133,2011,12,26.0,182
134,2011,13,14.0,40
135,2011,12,14.0,244
136,2011,13,27.0,83
137,2011,12,27.0,325
138,2011,13,15.0,42
139,2011,12,15.0,290
140,2011,13,13.0,30
141,2011,12,13.0,238
142,2011,13,28.0,15
143,2011,12,28.0,273
144,2011,13,24.0,10
145,2011,12,5.0,558
146,2011,13,1.0,19
147,2011,12,1.0,375
148,2011,13,9.0,19
149,2011,13,29.0,20
150,2011,12,29.0,315
151,2011,13,30.0,33
152,2011,12,30.0,388
153,2011,13,31.0,38
154,2011,12,31.0,451
155,2011,13,32.0,125
156,2011,12,32.0,430
157,2011,13,33.0,75
158,2011,12,33.0,909
159,2011,13,20.0,0
160,2011,12,20.0,0
161,2011,13,18.0,0
162,2011,12,18.0,0
163,2011,13,20.0,0
164,2011,10,15.0,5
165,2011,13,18.0,0
166,2011,13,19.0,33
167,2011,13,34.0,90
168,2011,12,9.0,313
169,2011,13,6.0,30
170,2011,12,6.0,326
171,2011,13,11.0,69
172,2011,12,11.0,689
173,2011,13,8.0,27
174,2011,12,8.0,231
175,2011,13,16.0,22
176,2011,12,16.0,310
177,2011,13,17.0,30
178,2011,12,17.0,291
179,2011,13,35.0,12
180,2011,12,35.0,79
181,2011,13,36.0,16
182,2011,12,36.0,438
183,2011,12,34.0,638
184,2011,11,15.0,17
185,2011,13,10.0,193
186,2011,8,27.0,24
187,2011,5,,61
188,2011,4,,17292
189,2011,3,,69
190,2011,2,,49
191,2011,1,,2423
192,2011,14,,406
193,2011,8,7.0,0
194,2011,6,,3602
195,2011,9,7.0,0
196,2011,11,7.0,0
197,2011,7,7.0,0
198,2011,8,6.0,0
199,2011,9,6.0,0
200,2011,10,6.0,0
201,2011,9,20.0,0
202,2011,7,9.0,0
203,2011,10,7.0,0
204,2011,15,,16
205,2011,16,,150
206,2011,17,,172
207,2011,7,18.0,0
208,2011,8,20.0,0
209,2011,9,20.0,0
210,2011,10,20.0,0
211,2011,11,20.0,0
212,2011,7,20.0,0
213,2011,8,18.0,0
