Year,Crime_code,Age_group,Gender,Total_count
2011,15,     Above 21 Years Old * ,Male,10
2011,15,     21 Years Old And Below * ,Male,0
2011,15,     Youths (7 To 19 Years Old) ,Male,0
2011,15,     Unknown Age ,Male,0
2011,15,     Above 21 Years Old * ,Female,6
2011,15,     21 Years Old And Below * ,Female,0
2011,15,     Youths (7 To 19 Years Old) ,Female,0
2011,15,     Unknown Age ,Female,0
2011,16,     Above 21 Years Old * ,Male,0
2011,16,     21 Years Old And Below * ,Male,0
2011,16,     Youths (7 To 19 Years Old) ,Male,0
2011,16,     Unknown Age ,Male,0
2011,16,     Above 21 Years Old * ,Female,45
2011,16,     21 Years Old And Below * ,Female,105
2011,16,     Youths (7 To 19 Years Old) ,Female,96
2011,16,     Unknown Age ,Female,0
2011,8,     Above 21 Years Old * ,Male,12
2011,8,     21 Years Old And Below * ,Male,70
2011,8,     Youths (7 To 19 Years Old) ,Male,60
2011,8,     Unknown Age ,Male,0
2011,8,     Above 21 Years Old * ,Female,810
2011,8,     21 Years Old And Below * ,Female,586
2011,8,     Youths (7 To 19 Years Old) ,Female,474
2011,8,     Unknown Age ,Female,4
2011,7,     Above 21 Years Old * ,Male,235
2011,7,     21 Years Old And Below * ,Male,80
2011,7,     Youths (7 To 19 Years Old) ,Male,70
2011,7,     Unknown Age ,Male,1
2011,7,     Above 21 Years Old * ,Female,107
2011,7,     21 Years Old And Below * ,Female,27
2011,7,     Youths (7 To 19 Years Old) ,Female,18
2011,7,     Unknown Age ,Female,0
2011,10,     Above 21 Years Old * ,Male,49
2011,10,     21 Years Old And Below * ,Male,22
2011,10,     Youths (7 To 19 Years Old) ,Male,18
2011,10,     Unknown Age ,Male,0
2011,10,     Above 21 Years Old * ,Female,231
2011,10,     21 Years Old And Below * ,Female,48
2011,10,     Youths (7 To 19 Years Old) ,Female,32
2011,10,     Unknown Age ,Female,0
2011,17,     Above 21 Years Old * ,Male,125
2011,17,     21 Years Old And Below * ,Male,114
2011,17,     Youths (7 To 19 Years Old) ,Male,96
2011,17,     Unknown Age ,Male,1
2011,17,     Above 21 Years Old * ,Female,7
2011,17,     21 Years Old And Below * ,Female,14
2011,17,     Youths (7 To 19 Years Old) ,Female,12
2011,17,     Unknown Age ,Female,0
2011,14,     Above 21 Years Old * ,Male,301
2011,14,     21 Years Old And Below * ,Male,65
2011,14,     Youths (7 To 19 Years Old) ,Male,42
2011,14,     Unknown Age ,Male,1
2011,14,     Above 21 Years Old * ,Female,59
2011,14,     21 Years Old And Below * ,Female,12
2011,14,     Youths (7 To 19 Years Old) ,Female,8
2011,14,     Unknown Age ,Female,0
2011,18,     Above 21 Years Old * ,Male,1123
2011,18,     21 Years Old And Below * ,Male,161
2011,18,     Youths (7 To 19 Years Old) ,Male,104
2011,18,     Unknown Age ,Male,0
2011,18,     Above 21 Years Old * ,Female,847
2011,18,     21 Years Old And Below * ,Female,135
2011,18,     Youths (7 To 19 Years Old) ,Female,77
2011,18,     Unknown Age ,Female,1
2012,15,     Above 21 Years Old * ,Male,5
2012,15,     21 Years Old And Below * ,Male,0
2012,15,     Youths (7 To 19 Years Old) ,Male,0
2012,15,     Unknown Age ,Male,0
2012,15,     Above 21 Years Old * ,Female,6
2012,15,     21 Years Old And Below * ,Female,0
2012,15,     Youths (7 To 19 Years Old) ,Female,0
2012,15,     Unknown Age ,Female,0
2012,16,     Above 21 Years Old * ,Male,0
2012,16,     21 Years Old And Below * ,Male,0
2012,16,     Youths (7 To 19 Years Old) ,Male,0
2012,16,     Unknown Age ,Male,0
2012,16,     Above 21 Years Old * ,Female,41
2012,16,     21 Years Old And Below * ,Female,97
2012,16,     Youths (7 To 19 Years Old) ,Female,82
2012,16,     Unknown Age ,Female,0
2012,8,     Above 21 Years Old * ,Male,19
2012,8,     21 Years Old And Below * ,Male,69
2012,8,     Youths (7 To 19 Years Old) ,Male,62
2012,8,     Unknown Age ,Male,1
2012,8,     Above 21 Years Old * ,Female,828
2012,8,     21 Years Old And Below * ,Female,585
2012,8,     Youths (7 To 19 Years Old) ,Female,427
2012,8,     Unknown Age ,Female,4
2012,7,     Above 21 Years Old * ,Male,179
2012,7,     21 Years Old And Below * ,Male,43
2012,7,     Youths (7 To 19 Years Old) ,Male,28
2012,7,     Unknown Age ,Male,0
2012,7,     Above 21 Years Old * ,Female,86
2012,7,     21 Years Old And Below * ,Female,25
2012,7,     Youths (7 To 19 Years Old) ,Female,18
2012,7,     Unknown Age ,Female,0
2012,10,     Above 21 Years Old * ,Male,46
2012,10,     21 Years Old And Below * ,Male,17
2012,10,     Youths (7 To 19 Years Old) ,Male,14
2012,10,     Unknown Age ,Male,0
2012,10,     Above 21 Years Old * ,Female,190
2012,10,     21 Years Old And Below * ,Female,37
2012,10,     Youths (7 To 19 Years Old) ,Female,24
2012,10,     Unknown Age ,Female,0
2012,17,     Above 21 Years Old * ,Male,170
2012,17,     21 Years Old And Below * ,Male,132
2012,17,     Youths (7 To 19 Years Old) ,Male,102
2012,17,     Unknown Age ,Male,2
2012,17,     Above 21 Years Old * ,Female,8
2012,17,     21 Years Old And Below * ,Female,9
2012,17,     Youths (7 To 19 Years Old) ,Female,5
2012,17,     Unknown Age ,Female,0
2012,14,     Above 21 Years Old * ,Male,339
2012,14,     21 Years Old And Below * ,Male,71
2012,14,     Youths (7 To 19 Years Old) ,Male,53
2012,14,     Unknown Age ,Male,4
2012,14,     Above 21 Years Old * ,Female,62
2012,14,     21 Years Old And Below * ,Female,11
2012,14,     Youths (7 To 19 Years Old) ,Female,6
2012,14,     Unknown Age ,Female,0
2012,18,     Above 21 Years Old * ,Male,840
2012,18,     21 Years Old And Below * ,Male,120
2012,18,     Youths (7 To 19 Years Old) ,Male,74
2012,18,     Unknown Age ,Male,0
2012,18,     Above 21 Years Old * ,Female,680
2012,18,     21 Years Old And Below * ,Female,176
2012,18,     Youths (7 To 19 Years Old) ,Female,130
2012,18,     Unknown Age ,Female,0
2013,15,     Above 21 Years Old * ,Male,9
2013,15,     21 Years Old And Below * ,Male,2
2013,15,     Youths (7 To 19 Years Old) ,Male,1
2013,15,     Unknown Age ,Male,0
2013,15,     Above 21 Years Old * ,Female,5
2013,15,     21 Years Old And Below * ,Female,1
