Year,Age_group,Total_population
2005,     0 - 4 Years ,199529
2005,     5 - 9 Years ,237237
2005,     10 - 14 Years ,258553
2005,     15 - 19 Years ,234921
2005,     20 - 24 Years ,218951
2005,     25 - 29 Years ,247799
2005,     30 - 34 Years ,293414
2005,     35 - 39 Years ,299153
2005,     40 - 44 Years ,321472
2005,     45 - 49 Years ,307546
2005,     50 - 54 Years ,254168
2005,     55 - 59 Years ,197803
2005,     60 - 64 Years ,117575
2005,     65 - 69 Years ,101088
2005,     70 - 74 Years ,76545
2005,     75 - 79 Years ,51601
2005,     80 - 84 Years ,27879
2005,     85 - 89 Years ,14514
2005,     90 Years & Over ,8066
2006,     0 - 4 Years ,194479
2006,     5 - 9 Years ,235204
2006,     10 - 14 Years ,256482
2006,     15 - 19 Years ,246547
2006,     20 - 24 Years ,219631
2006,     25 - 29 Years ,251659
2006,     30 - 34 Years ,293251
2006,     35 - 39 Years ,298203
2006,     40 - 44 Years ,323017
2006,     45 - 49 Years ,312858
2006,     50 - 54 Years ,266994
2006,     55 - 59 Years ,214601
2006,     60 - 64 Years ,118242
2006,     65 - 69 Years ,108837
2006,     70 - 74 Years ,78317
2006,     75 - 79 Years ,54413
2006,     80 - 84 Years ,29443
2006,     85 - 89 Years ,15206
2006,     90 Years & Over ,8510
2007,     0 - 4 Years ,193626
2007,     5 - 9 Years ,229541
2007,     10 - 14 Years ,255292
2007,     15 - 19 Years ,257298
2007,     20 - 24 Years ,218485
2007,     25 - 29 Years ,254523
2007,     30 - 34 Years ,294453
2007,     35 - 39 Years ,301973
2007,     40 - 44 Years ,321049
2007,     45 - 49 Years ,315552
2007,     50 - 54 Years ,279220
2007,     55 - 59 Years ,220983
2007,     60 - 64 Years ,135501
2007,     65 - 69 Years ,113757
2007,     70 - 74 Years ,78631
2007,     75 - 79 Years ,56732
2007,     80 - 84 Years ,31519
2007,     85 - 89 Years ,15923
2007,     90 Years & Over ,9024
2008,     0 - 4 Years ,193889
2008,     5 - 9 Years ,223622
2008,     10 - 14 Years ,253796
2008,     15 - 19 Years ,262856
2008,     20 - 24 Years ,225385
2008,     25 - 29 Years ,263114
2008,     30 - 34 Years ,289817
2008,     35 - 39 Years ,307243
2008,     40 - 44 Years ,317363
2008,     45 - 49 Years ,318078
2008,     50 - 54 Years ,289189
2008,     55 - 59 Years ,229356
2008,     60 - 64 Years ,153161
2008,     65 - 69 Years ,115185
2008,     70 - 74 Years ,81307
2008,     75 - 79 Years ,59001
2008,     80 - 84 Years ,33882
