Year,Quarter,Status,Rate
1992, 1Q,Total,1.5
1992, 1Q,Resident,1.8
1992, 1Q,Citizen,1.8
1992, 2Q,Total,2.4
1992, 2Q,Resident,2.8
1992, 2Q,Citizen,2.9
1992, 3Q,Total,1.6
1992, 3Q,Resident,2.0
1992, 3Q,Citizen,2.0
1992, 4Q,Total,1.7
1992, 4Q,Resident,2.0
1992, 4Q,Citizen,2.0
1993, 1Q,Total,1.2
1993, 1Q,Resident,1.5
1993, 1Q,Citizen,1.6
1993, 2Q,Total,2.4
1993, 2Q,Resident,2.8
1993, 2Q,Citizen,2.9
1993, 3Q,Total,1.5
1993, 3Q,Resident,1.8
1993, 3Q,Citizen,1.9
1993, 4Q,Total,1.7
1993, 4Q,Resident,2.1
1993, 4Q,Citizen,2.1
1994, 1Q,Total,1.4
1994, 1Q,Resident,1.8
1994, 1Q,Citizen,1.8
1994, 2Q,Total,2.2
1994, 2Q,Resident,2.7
1994, 2Q,Citizen,2.8
1994, 3Q,Total,1.4
1994, 3Q,Resident,1.7
1994, 3Q,Citizen,1.8
1994, 4Q,Total,1.9
1994, 4Q,Resident,2.4
1994, 4Q,Citizen,2.4
1995, 1Q,Total,1.5
1995, 1Q,Resident,1.8
1995, 1Q,Citizen,1.9
1995, 2Q,Total,2.5
1995, 2Q,Resident,3.2
1995, 2Q,Citizen,3.2
1995, 3Q,Total,1.2
1995, 3Q,Resident,1.5
1995, 3Q,Citizen,1.5
1995, 4Q,Total,1.8
1995, 4Q,Resident,2.3
1995, 4Q,Citizen,2.4
1996, 1Q,Total,1.5
1996, 1Q,Resident,2.0
1996, 1Q,Citizen,2.0
1996, 2Q,Total,2.4
1996, 2Q,Resident,3.1
1996, 2Q,Citizen,3.2
1996, 3Q,Total,1.1
1996, 3Q,Resident,1.5
1996, 3Q,Citizen,1.5
1996, 4Q,Total,1.6
1996, 4Q,Resident,2.1
1996, 4Q,Citizen,2.2
1997, 1Q,Total,1.2
1997, 1Q,Resident,1.6
1997, 1Q,Citizen,1.7
1997, 2Q,Total,1.9
1997, 2Q,Resident,2.5
1997, 2Q,Citizen,2.6
1997, 3Q,Total,1.0
1997, 3Q,Resident,1.4
1997, 3Q,Citizen,1.5
1997, 4Q,Total,1.6
1997, 4Q,Resident,2.3
1997, 4Q,Citizen,2.3
1998, 1Q,Total,1.4
1998, 1Q,Resident,2.0
1998, 1Q,Citizen,2.1
1998, 2Q,Total,2.5
1998, 2Q,Resident,3.4
1998, 2Q,Citizen,3.5
1998, 3Q,Total,2.5
1998, 3Q,Resident,3.5
1998, 3Q,Citizen,3.6
1998, 4Q,Total,3.6
1998, 4Q,Resident,4.9
1998, 4Q,Citizen,5.1
1999, 1Q,Total,2.6
1999, 1Q,Resident,3.6
1999, 1Q,Citizen,3.7
1999, 2Q,Total,3.6
1999, 2Q,Resident,4.9
1999, 2Q,Citizen,5.0
1999, 3Q,Total,2.4
1999, 3Q,Resident,3.2
1999, 3Q,Citizen,3.3
1999, 4Q,Total,2.6
1999, 4Q,Resident,3.5
1999, 4Q,Citizen,3.6
2000, 1Q,Total,2.3
2000, 1Q,Resident,3.2
2000, 1Q,Citizen,3.4
2000, 2Q,Total,4.4
2000, 2Q,Resident,6.0
2000, 2Q,Citizen,6.2
2000, 3Q,Total,1.6
2000, 3Q,Resident,2.3
2000, 3Q,Citizen,2.3
2000, 4Q,Total,2.4
2000, 4Q,Resident,3.3
2000, 4Q,Citizen,3.5
2001, 1Q,Total,1.6
2001, 1Q,Resident,2.2
2001, 1Q,Citizen,2.4
2001, 2Q,Total,2.7
2001, 2Q,Resident,3.8
2001, 2Q,Citizen,3.9
2001, 3Q,Total,2.4
2001, 3Q,Resident,3.3
2001, 3Q,Citizen,3.5
2001, 4Q,Total,3.9
2001, 4Q,Resident,5.5
2001, 4Q,Citizen,5.8
2002, 1Q,Total,3.0
2002, 1Q,Resident,4.2
2002, 1Q,Citizen,4.4
2002, 2Q,Total,4.2
2002, 2Q,Resident,5.6
2002, 2Q,Citizen,5.9
2002, 3Q,Total,3.1
2002, 3Q,Resident,4.2
2002, 3Q,Citizen,4.5
2002, 4Q,Total,3.9
2002, 4Q,Resident,5.2
2002, 4Q,Citizen,5.4
2003, 1Q,Total,3.2
2003, 1Q,Resident,4.2
2003, 1Q,Citizen,4.3
2003, 2Q,Total,4.5
2003, 2Q,Resident,5.9
2003, 2Q,Citizen,6.1
2003, 3Q,Total,4.1
2003, 3Q,Resident,5.4
2003, 3Q,Citizen,5.6
2003, 4Q,Total,4.0
2003, 4Q,Resident,5.4
2003, 4Q,Citizen,5.7
2004, 1Q,Total,3.2
2004, 1Q,Resident,4.3
2004, 1Q,Citizen,4.6
2004, 2Q,Total,4.4
2004, 2Q,Resident,5.8
2004, 2Q,Citizen,6.2
2004, 3Q,Total,2.6
2004, 3Q,Resident,3.4
2004, 3Q,Citizen,3.7
2004, 4Q,Total,3.2
2004, 4Q,Resident,4.2
2004, 4Q,Citizen,4.6
2005, 1Q,Total,2.8
2005, 1Q,Resident,3.7
2005, 1Q,Citizen,3.8
2005, 2Q,Total,4.2
2005, 2Q,Resident,5.6
2005, 2Q,Citizen,5.8
2005, 3Q,Total,2.9
2005, 3Q,Resident,3.8
2005, 3Q,Citizen,4.1
2005, 4Q,Total,2.6
2005, 4Q,Resident,3.4
2005, 4Q,Citizen,3.7
2006, 1Q,Total,2.2
2006, 1Q,Resident,2.9
2006, 1Q,Citizen,3.2
2006, 2Q,Total,3.4
2006, 2Q,Resident,4.5
2006, 2Q,Citizen,4.7
2006, 3Q,Total,2.4
2006, 3Q,Resident,3.2
2006, 3Q,Citizen,3.2
2006, 4Q,Total,2.6
2006, 4Q,Resident,3.6
2006, 4Q,Citizen,3.7
2007, 1Q,Total,2.5
2007, 1Q,Resident,3.4
2007, 1Q,Citizen,3.5
2007, 2Q,Total,2.9
2007, 2Q,Resident,4.0
2007, 2Q,Citizen,4.2
2007, 3Q,Total,1.5
2007, 3Q,Resident,2.1
2007, 3Q,Citizen,2.2
2007, 4Q,Total,1.6
2007, 4Q,Resident,2.3
2007, 4Q,Citizen,2.5
2008, 1Q,Total,1.8
2008, 1Q,Resident,2.6
2008, 1Q,Citizen,2.8
2008, 2Q,Total,2.8
2008, 2Q,Resident,4.0
2008, 2Q,Citizen,4.1
2008, 3Q,Total,1.9
2008, 3Q,Resident,2.8
2008, 3Q,Citizen,2.9
2008, 4Q,Total,2.4
2008, 4Q,Resident,3.5
2008, 4Q,Citizen,3.7
2009, 1Q,Total,3.0
2009, 1Q,Resident,4.4
2009, 1Q,Citizen,4.7
2009, 2Q,Total,4.1
